name,city,birthDate,deathDate,nationality,occupation
Leo Gestel,Woerden,1881,1941,Netherlands,prentmaker
Willem Basse,Amsterdam,1614,1672,Netherlands,prentmaker
Paulus Lauters,Brussel (stad),1806,1875,,prentmaker
Michał Płoński,Warschau,1778,1812,,prentmaker
Albert Greiner,Titisee-Neustadt,1833,1890,,fotograaf
Adrien De Witte,Luik,1850,1935,,prentmaker
Johann Christian Reinhart,Hof (Duitsland),1761,1847,,prentmaker
Pierre François Eugène Giraud,Parijs,1806,1881,,prentmaker
Aarnout ter Himpel,,1634,1686,,tekenaar
Albert Roelofs,Schaarbeek,1877,1920,,prentmaker
Johann Peter Berghaus,Lüdenscheid,1810,1870,Germany,prentmaker
Philips Galle,Haarlem,1537,1612,Netherlands,prentmaker
Adriaen Collaert,Antwerpen (stad),1560,1618,,prentmaker
Reinier Vinkeles (I),Amsterdam,1741,1816,Netherlands,prentmaker
Christian Haldenwang,Durlach,1770,1831,Germany,prentmaker
Christian Gottlieb Geyser,Görlitz,1742,1803,Germany,prentmaker
Henri Leys (baron),Antwerpen (stad),1815,1869,,prentmaker
Augustin Hirschvogel,Neurenberg,1503,1553,,prentmaker
Auguste Danse,Brussel (stad),1829,1929,,prentmaker
Stefano della Bella,Florence,1610,1664,Italy,prentmaker
Theo van Hoytema,Den Haag,1863,1917,,prentmaker
Marius Bauer,Den Haag,1867,1932,,prentmaker
Franz Ziegler,Harderwijk,1893,1939,Netherlands,fotograaf
Johann Martin Bernigeroth,Leipzig,1713,1767,Germany,prentmaker
Willem Charles Magnenat,Utrecht,1803,1871,Netherlands,prentmaker
Isaac Israels,Amsterdam,1865,1934,Netherlands,prentmaker
Lucas Kilian,Augsburg,1579,1637,Germany,prentmaker
Albertus Clouwet,Antwerpen (stad),1636,1679,,prentmaker
Etienne Delaune,Parijs,1519,1583,,prentmaker
Hieronymus Cock,Antwerpen (stad),1518,1570,,prentmaker
Johann Sadeler (I),Brussel (stad),1550,1600,,prentmaker
Jan Harmensz. Muller,Amsterdam,1571,1628,Netherlands,prentmaker
Pieter Barbiers (IV),Haarlem,1798,1848,Netherlands,schilder
Séraphin-Médéric Mieusement,Gonneville-la-Mallet,1840,1905,,fotograaf
Johann Heinrich Lips,Kloten,1758,1817,Switzerland,prentmaker
Pieter Schenk (I),Elberfeld,1660,1711,,prentmaker
Frans Hogenberg,Mechelen,1540,1590,Belgium,prentmaker
Abraham Allard,Amsterdam,1676,1725,Netherlands,prentmaker
Simon Andreas Krausz,Den Haag,1760,1825,,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Johannes Tavenraat,Rotterdam,1809,1881,Netherlands,prentmaker
Prosper-Alphonse Isaac,Calais,1858,1924,France,prentmaker
Michel Wolgemut,Neurenberg,1434,1519,,prentmaker
Eadweard Muybridge,,1830,1904,,fotograaf
Manuel Romão Pereira,,1815,1894,,fotograaf
Constant Bourgeois,Guiscard,1767,1841,France,prentmaker
Jan Balzer,Kuks,1738,1799,Czech_Republic,prentmaker
Jean Lepautre,Parijs,1618,1682,,prentmaker
Ludovic Baschet,Parijs,1834,1909,,uitgever
Charles Melchior Descourtis,Parijs,1753,1820,,prentmaker
Cornelis Saftleven,Gorinchem,1607,1681,,prentmaker
Pieter van Woensel,Haarlem,1747,1808,Netherlands,schrijver
Pieter van Schuppen,Antwerpen (stad),1627,1702,,prentmaker
Steven van Lamsweerde,Utrecht,1620,1686,Netherlands,prentmaker
Johann Wilhelm Kaiser (I),Amsterdam,1813,1900,Netherlands,prentmaker
Aegidius Sadeler (II),Antwerpen (stad),1568,1629,,prentmaker
Paulus Emans,Rotterdam,1808,1846,Netherlands,prentmaker
Lucas Cranach (I),Kronach,1472,1553,Germany,prentmaker
Josephus Augustus Knip,Tilburg,1777,1847,Netherlands,prentmaker
Georg Leopold Hertel,Augsburg,1740,1778,Germany,prentmaker
Jacob Houbraken,Dordrecht,1698,1780,Netherlands,prentmaker
Nathanael Teuter,Amsterdam,1767,1831,Netherlands,zilversmid
Adriaen Collaert,Antwerpen (stad),1560,1618,,prentmaker
Salomon Savery,Amsterdam,1594,1683,Netherlands,prentmaker
Abraham van Strij (I),Dordrecht,1753,1826,Netherlands,prentmaker
Carel Christiaan Antony Last,Amsterdam,1808,1876,Netherlands,prentmaker
Wenceslaus Hollar,Praag,1607,1677,,prentmaker
Jean Théodore Joseph Linnig,Antwerpen (stad),1815,1891,,prentmaker
Pieter de Goeje,Enkhuizen,1789,1859,Netherlands,prentmaker
Bramine Hubrecht,Rotterdam,1855,1913,Netherlands,prentmaker
Ernst Witkamp,Amsterdam,1854,1897,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Marius Bauer,Den Haag,1867,1932,,prentmaker
George Clausen,Londen,1852,1912,,tekenaar
Johann Christian Leopold,Augsburg,1699,1755,Germany,prentmaker
Daniël Veelwaard (I),Amsterdam,1766,1851,Netherlands,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Coenraet Decker,Amsterdam,1650,1685,Netherlands,prentmaker
Adolphe Martial Potémont,Parijs,1828,1883,,prentmaker
Johann Gabriel Friedrich Poppel,Hammer,1807,1882,,prentmaker
Pieter Serwouters,Antwerpen (stad),1586,1657,,prentmaker
Willem Jacobsz. Delff,Delft,1580,1638,,prentmaker
August Weger,Neurenberg,1823,1892,,prentmaker
Petrus Johannes van Reysschoot,,1702,1772,,prentmaker
Willem Cornelis Rip,Rotterdam,1856,1922,Netherlands,schilder
Claude Mellan,Abbeville,1598,1688,France,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Barend Christiaan van Calker,Zeist,1739,1813,Netherlands,medailleur
Jacob Houbraken,Dordrecht,1698,1780,Netherlands,prentmaker
Sybolt Berghuis,Groningen,1820,1896,Netherlands,schilder
Utagawa Kunisada (I),,1786,1865,,prentmaker
Georg Friedrich Schmidt,Schönerlinde,1712,1775,,prentmaker
Giorgio Sommer,Frankfurt am Main,1834,1914,,fotograaf
Jean Louis Bargignac,,1816,1858,,fotograaf
Jacob de Gheyn (II),Antwerpen (stad),1565,1629,,schilder
Cornelis Saftleven,Gorinchem,1607,1681,,prentmaker
Anna Maria van Schurman,Keulen,1607,1678,,dichteres
Herman Saftleven,Rotterdam,1609,1685,Netherlands,prentmaker
Hans Burgkmair (I),Augsburg,1473,1531,Germany,prentmaker
Stefano della Bella,Florence,1610,1664,Italy,prentmaker
Max Büttinghausen,,1847,1906,,fotograaf
Reinier Vinkeles (I),Amsterdam,1741,1816,Netherlands,prentmaker
Pieter Oosterhuis,Groningen,1816,1885,Netherlands,prentmaker
Clifford Addams,Woodbury,1876,1942,,prentmaker
Émile Bernard,Lille,1868,1941,France,prentmaker
Bernard Picart,Parijs,1673,1733,,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Esaias van de Velde,Amsterdam,1587,1630,Netherlands,prentmaker
Johannes Petrus Schouberg,Den Haag,1798,1864,,prentmaker
Reinier Vinkeles (I),Amsterdam,1741,1816,Netherlands,prentmaker
Cornelis Dusart,Haarlem,1660,1704,Netherlands,schilder
Jan de Bray,Haarlem,1627,1697,Netherlands,prentmaker
Josephus Nauwens,Antwerpen (stad),1830,1906,,prentmaker
Leonard Schenk,Amsterdam,1696,1767,Netherlands,prentmaker
Charles Howard Hodges,Portsmouth,1764,1837,United_Kingdom,prentmaker
Jules David (1808-1892),Parijs,1808,1892,,tekenaar
Friedrich Christoph Dietrich,Öhringen,1779,1847,Germany,prentmaker
Willem Linnig (I),Antwerpen (stad),1819,1885,,prentmaker
Aristide Maillol,Banyuls-sur-Mer,1861,1944,,prentmaker
Christoph Heinrich Kniep,Hildesheim,1755,1825,Germany,tekenaar
Charles Michelez,,1817,1883,,fotograaf
Nikolay Semyonovich Mosolov,Moskou,1847,1914,,prentmaker
Claude Mellan,Abbeville,1598,1688,France,prentmaker
Folkert Idzes de Jong,,1877,1929,,architect
Watanabe Katei,,1864,1926,,schrijver
Johannes Proost,Geervliet,1882,1942,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Adriaen Matham,Haarlem,1599,1660,Netherlands,prentmaker
Bernard Picart,Parijs,1673,1733,,prentmaker
Cornelis Meyssens,Antwerpen (stad),1640,1673,,prentmaker
Abraham Bosse,Tours,1602,1676,France,prentmaker
Paul de Zetter,Hanau,1600,1667,Germany,prentmaker
Johann Carl Schleich,Augsburg,1759,1842,Germany,prentmaker
Albert Flamen,,1620,1691,,prentmaker
Carel Frederik Bendorp (I),Sas-van-Gent,1736,1814,Netherlands,prentmaker
James Anderson,Cumbria,1813,1877,United_Kingdom,fotograaf
Petrus Regout,,1801,1879,,plateelbakker
Friedrich Justin Bertuch,,1747,1822,,uitgever
Friedrich Justin Bertuch,,1747,1822,,uitgever
Coenraet Decker,Amsterdam,1650,1685,Netherlands,prentmaker
