name,city,birthDate,deathDate,nationality,occupation
Johann Wilhelm Kaiser (I),Amsterdam,1813,1900,Netherlands,prentmaker
Wenceslaus Hollar,Praag,1607,1677,,prentmaker
Willem Steelink (I),Amsterdam,1826,1913,Netherlands,prentmaker
Félix Nadar,Parijs,1820,1910,,fotograaf
Auguste Danse,Brussel (stad),1829,1929,,prentmaker
Simon Fokke,Amsterdam,1712,1784,Netherlands,prentmaker
Francis Bedford,Camberwell,1816,1894,United_Kingdom,prentmaker
Georg Daniel Heumann,Neurenberg,1691,1759,,prentmaker
Marius Bauer,Den Haag,1867,1932,,prentmaker
Léon Vidal,Marseille,1833,1906,France,fotograaf
Jean Grandjean,Amsterdam,1752,1781,Netherlands,prentmaker
Allaert van Everdingen,Alkmaar,1621,1675,Netherlands,prentmaker
Simon Moulijn,Rotterdam,1866,1948,Netherlands,prentmaker
Sébastien Leclerc (I),Metz,1637,1714,France,prentmaker
Maria Vos,Amsterdam,1824,1906,Netherlands,prentmaker
Jonas Suyderhoef,,1613,1686,,prentmaker
Roelant Roghman,Amsterdam,1627,1692,Netherlands,prentmaker
Jan Bos,De Bilt,1832,1897,,prentmaker
Félix Nadar,Parijs,1820,1910,,fotograaf
Michiel Elgersma,Bolsward,1690,1759,Netherlands,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Virgilius Solis,Neurenberg,1514,1562,,prentmaker
Hendrick Hondius (I),Duffel,1573,1650,Belgium,prentmaker
Hans Borrebach,Den Haag,1903,1991,,tekenaar
Ignaz Sebastian Klauber,Augsburg,1753,1817,Germany,prentmaker
Willem Schiff,Nijmegen,1707,1775,Netherlands,zilversmid
Hablot Knight Browne,Kensington,1815,1882,United_Kingdom,fotograaf
Jacob Merz,Buchs (Zürich),1783,1807,,prentmaker
Izaak Jansz. de Wit,Amsterdam,1744,1809,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Hendrik de Leth,Amsterdam,1703,1766,Netherlands,prentmaker
Johannes Glauber,Utrecht,1646,1726,Netherlands,prentmaker
Johann Conrad Krüger,Stettin,1733,1791,,prentmaker
Ernst Willem Jan Bagelaar,Eindhoven,1775,1837,Netherlands,prentmaker
Christiaan Benjamin Nieuwenhuis,Amsterdam,1863,1922,Netherlands,fotograaf
Cornelis Vreedenburgh,Woerden,1880,1946,Netherlands,prentmaker
Gerrit Willem Dijsselhof,Zwollerkerspel,1866,1924,,prentmaker
Giovanni Battista Montano,Milaan,1534,1621,,tekenaar
Gerrit Schouten,Paramaribo,1779,1839,Suriname,tekenaar
Joseph Schubert,Brussel (stad),1816,1885,,prentmaker
Israël Silvestre,Nancy,1621,1691,,prentmaker
Jacob Houbraken,Dordrecht,1698,1780,Netherlands,prentmaker
Jean Pelletier,Parijs,1736,1780,,prentmaker
Anthonie van den Bos,Nijmegen,1763,1838,Netherlands,prentmaker
Paul Reimund,,1764,1815,,sierpapiermaker
Martin Monnickendam,Amsterdam,1874,1943,Netherlands,prentmaker
Dirk Sluyter,Amsterdam,1790,1852,Netherlands,prentmaker
Jan Smeltzing (I),Leiden,1656,1693,Netherlands,modelleur
Cornelis Saftleven,Gorinchem,1607,1681,,prentmaker
Edgar Alfred Baes,Oostende,1837,1909,,prentmaker
August Allebé,Amsterdam,1838,1927,Netherlands,prentmaker
Émile Bernard,Lille,1868,1941,France,prentmaker
Cornelis Vreedenburgh,Woerden,1880,1946,Netherlands,prentmaker
Carel Adolph Lion Cachet,Amsterdam,1864,1945,Netherlands,prentmaker
Sébastien Bourdon,Montpellier,1616,1671,France,prentmaker
Friedrich Jentzen,Berlijn,1804,1875,,prentmaker
Aegidius Sadeler (II),Antwerpen (stad),1568,1629,,prentmaker
Paulus van Liender,Utrecht,1731,1797,Netherlands,prentmaker
Carel de Moor (II),Leiden,1655,1738,Netherlands,prentmaker
Adrien De Witte,Luik,1850,1935,,prentmaker
Auguste Rodin,Parijs,1840,1917,,prentmaker
Jacob Houbraken,Dordrecht,1698,1780,Netherlands,prentmaker
Pieter Bartholomeusz. Barbiers,Amsterdam,1772,1837,Netherlands,prentmaker
Antonio Tempesta,Florence,1555,1630,Italy,prentmaker
Gabriel Perelle,Vernon,1603,1677,,prentmaker
Pierre Petit,Aups,1832,1909,France,fotograaf
Balthasar Anton Dunker,Saal,1746,1807,,prentmaker
John Smith (prentmaker/ uitgever),Daventry,1664,1743,England,prentmaker
Johannes Jaeger,,1832,1908,,fotograaf
Ferdinand van Wolde,Groningen,1891,1945,Netherlands,prentmaker
Jacob Jan van der Maaten,Elburg,1820,1879,Netherlands,prentmaker
Anthon Gerhard Alexander van Rappard,Zeist,1858,1892,Netherlands,prentmaker
Martin Holtzhey,Ulm,1697,1764,Germany,medailleur
Floris Arntzenius,Soerabaja,1864,1925,,prentmaker
Jan Brandes,Bodegraven,1743,1808,Netherlands,tekenaar
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
John Smith (prentmaker/ uitgever),Daventry,1664,1743,England,prentmaker
Pieter Schenk (I),Elberfeld,1660,1711,,prentmaker
Alfred William Rich,Gravely,1856,1921,,tekenaar
Marius Bauer,Den Haag,1867,1932,,prentmaker
Johannes Willemszoon Blaeu,Alkmaar,1596,1673,Netherlands,uitgever
Johannes Tavenraat,Rotterdam,1809,1881,Netherlands,prentmaker
Richard Earlom,Londen,1743,1822,,prentmaker
Hendrik Spilman,Amsterdam,1721,1784,Netherlands,prentmaker
Willem Adrianus Grondhout,Dinxperlo,1878,1934,Netherlands,prentmaker
Jacques Callot,Nancy,1592,1635,,prentmaker
Antonio Tempesta,Florence,1555,1630,Italy,prentmaker
Marie Danse,Brussel (stad),1867,1942,,prentmaker
Jan Gillisz. van Vliet,Delft,1610,1668,,prentmaker
Adolf van der Laan,,1690,1742,,prentmaker
Thomas Annan,Dairsie,1829,1887,,fotograaf
Nikolay Semyonovich Mosolov,Moskou,1847,1914,,prentmaker
Cornelis Galle (I),Antwerpen (stad),1576,1650,,prentmaker
Jean Lepautre,Parijs,1618,1682,,prentmaker
Bernard Picart,Parijs,1673,1733,,prentmaker
Willem Witsen,Amsterdam,1860,1923,Netherlands,prentmaker
François Jacques Dequevauviller,Parijs,1783,1848,,prentmaker
Henri-Gérard Fontallard,Parijs,1798,1840,,prentmaker
Johann Sadeler (I),Brussel (stad),1550,1600,,prentmaker
Cornelis van den Berg,Haarlem,1699,1774,Netherlands,prentmaker
Jean Baptist Leprince,Metz,1734,1781,France,prentmaker
Theodoor Galle,Antwerpen (stad),1571,1633,,prentmaker
Orazio Farinati,,1559,1616,,schilder
Jan Kobell (II),Delfshaven,1778,1814,,prentmaker
Laurens Lodewijk Kleijn,Guyana,1826,1909,,schilder
Marinus Robyn van der Goes,,1607,1639,,prentmaker
Jacques Callot,Nancy,1592,1635,,prentmaker
Michel Wolgemut,Neurenberg,1434,1519,,prentmaker
Jost Amman,Zürich (stad),1539,1591,Switzerland,prentmaker
